departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
CORDOBA,23,TIERRALTA,"23,807",Rural,Vereda Las Glorias,"2,004",10,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,7.636389,-76.150556,Sin informacion,"(7.636389, -76.150556)",Fuerza pública
NORTE DE SANTANDER,54,EL TARRA,"54,250",Rural,Sin información,"2,003",4,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,8.686111,-72.970278,Sin informacion,"(8.686111, -72.970278)",Fuerza pública
SANTANDER,68,SIMACOTA,"68,745",Rural,Vereda Caño Viejo,"2,003",11,Mayor de 18 años,No,Civil,Hombre,Herido,6.441321,-73.338071,Sin informacion,"(6.441321, -73.338071)",Agricultura
PUTUMAYO,86,PUERTO ASÍS,"86,568",Rural,Sin información,"2,002",11,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,0.502569,-76.49818,Sin informacion,"(0.502569, -76.49818)",Fuerza pública
ANTIOQUIA,5,ITUANGO,"5,361",Rural,Vereda La Francia,"2,003",8,Mayor de 18 años,No,Civil,Hombre,Muerto,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Sin Información
