departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
BOLIVAR,13,SAN PABLO,"13,670",Rural,Corregimiento El Socorro,"2,005",4,Mayor de 18 años,No,Civil,Mujer,Herido,7.483919,-73.933361,Sin informacion,"(7.483919, -73.933361)",Sin Información
ANTIOQUIA,5,COCORNÁ,"5,197",Rural,Sector De San Lorenzo,"2,005",8,Menor de 18 años,No,Civil,Hombre,Herido,6.058001,-75.185085,Sin informacion,"(6.058001, -75.185085)",Sin Información
ANTIOQUIA,5,SAN CARLOS,"5,649",Rural,Cerro Lindo,"2,004",9,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,6.138611,-74.952778,Sin informacion,"(6.138611, -74.952778)",Fuerza pública
CAUCA,19,PÁEZ,"19,517",Rural,Sin información,"2,006",8,Mayor de 18 años,No,Civil,Hombre,Muerto,2.66408761866,-75.9730436997,Sin informacion,"(2.66408761866, -75.9730436997)","Pasando, estando cerca"
CAUCA,19,PÁEZ,"19,517",Rural,Sin información,"2,006",8,Mayor de 18 años,No,Civil,Hombre,Herido,2.66408761866,-75.9730436997,Sin informacion,"(2.66408761866, -75.9730436997)","Pasando, estando cerca"
TOLIMA,73,ATACO,"73,067",Rural,Casa Verde,"2,006",2,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,3.364444,-75.591667,Sin informacion,"(3.364444, -75.591667)",Fuerza pública
TOLIMA,73,ATACO,"73,067",Rural,Casa Verde,"2,006",2,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,3.364444,-75.591667,Sin informacion,"(3.364444, -75.591667)",Fuerza pública
TOLIMA,73,ATACO,"73,067",Rural,Casa Verde,"2,006",2,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,3.364444,-75.591667,Sin informacion,"(3.364444, -75.591667)",Fuerza pública
MAGDALENA,47,CIÉNAGA,"47,189",Rural,Sector Cerro Azul,"2,003",3,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,10.99492,-74.225174,Sin informacion,"(10.99492, -74.225174)",Fuerza pública
GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,"95,001",Rural,Sitio Tierra Negra,"1,996",8,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.564079,-72.640033,Sin informacion,"(2.564079, -72.640033)",Fuerza pública
